date,corridor,target_source_quote_date,rate,dist_min_10,favourability_percentile_20,ret_5,good,future_regret_bps,centered_benefit_bps
2025-02-07,AMD_RUB,2025-02-07,0.244211,0.001562564081532214,0.95,-0.0084654237178029,False,673.5568831870808,-88.26093037501353
2025-02-07,KGS_RUB,2025-02-07,1.10818,0.0,1.0,-0.011180412417128527,False,681.1167860816835,-82.76594131473276
2025-02-07,TJS_RUB,2025-02-07,8.85455,0.0,1.0,-0.014713835211277004,False,678.6228549163986,-75.54755368574763
2025-02-12,KZT_RUB,2025-02-12,0.187668,0.0,0.9,-0.0065535239748869545,False,634.9510838288899,-128.25346307480095
2025-02-19,KZT_RUB,2025-02-19,0.183137,0.009636747542574264,0.9,-0.024143700577615834,False,593.4901194187952,-143.57066689384584
2025-02-20,AMD_RUB,2025-02-20,0.228512,0.0032929110211536994,0.95,-0.03646889665670161,False,444.13422489847324,1.3439188298012155
2025-02-20,KGS_RUB,2025-02-20,1.03404,0.0012975694780672509,0.95,-0.0385048119391882,False,497.56295694557366,-10.017005399414748
2025-02-20,TJS_RUB,2025-02-20,8.25717,0.00042526588204516713,0.95,-0.03896549797717863,False,491.4395610118243,-1.7448199899496637
2025-02-20,UZS_RUB,2025-02-20,0.00697189,0.0038993147400721018,0.95,-0.03778266960176113,False,434.40157546949166,6.851406186619455
2025-03-12,AMD_RUB,2025-03-12,0.219691,0.006081616391055311,0.95,-0.03044706297718358,False,525.510831121894,55.95679853224555
2025-03-12,KGS_RUB,2025-03-12,0.98991,0.00744969926418948,0.95,-0.03003253115936344,False,538.1297289652588,64.19429492381853
2025-03-12,TJS_RUB,2025-03-12,7.9063,0.00699494865870709,0.95,-0.030528725597067874,False,567.9647875744656,50.011140621005076
2025-03-12,UZS_RUB,2025-03-12,0.00668981,0.003115895415075398,0.95,-0.03322253854935908,False,587.4905266367805,51.60579531488064
2025-03-17,KZT_RUB,2025-03-15,0.17277,0.0,0.9,-0.03871405679693751,False,547.1436013196745,-27.424882823090964
2025-04-09,KZT_RUB,2025-04-09,0.16489,0.0,0.95,-0.019952807479479584,False,595.0027290921229,-8.364655025904247
2025-04-14,KGS_RUB,2025-04-12,0.960595,0.0,0.95,-0.011008074853261718,False,321.77973027134215,-45.18979574784028
2025-04-14,UZS_RUB,2025-04-12,0.0064776,0.0,0.9,-0.006929539461580814,False,363.7767074225016,-68.96778379761034
2025-04-15,AMD_RUB,2025-04-15,0.211724,0.0,0.9,-0.0391642538823892,False,232.28353894693117,58.65482286279191
2025-04-15,TJS_RUB,2025-04-15,7.60105,0.0,0.9,-0.0390775913508703,False,129.86363726064113,107.24900890930981
2025-04-30,KGS_RUB,2025-04-30,0.932666,0.0032064624039325196,0.9,-0.005359968945026661,True,85.88283479830895,24.54292194823051
2025-04-30,UZS_RUB,2025-04-30,0.00629912,0.009157380053701036,0.9,-0.0017511414114042,True,68.10475113984212,25.37512995969672
2025-05-07,AMD_RUB,2025-05-07,0.207889,0.005236791969285282,0.9,-0.018261584087345906,True,53.97110958251683,45.49185747967395
2025-05-07,KZT_RUB,2025-05-07,0.156142,0.00904731747037002,0.9,-0.023043954325042915,True,0.0,130.62916907206903
2025-05-07,UZS_RUB,2025-05-07,0.00625787,0.0025488788777883187,0.95,-0.021273434481982156,False,112.6102012346047,43.536661249335246
