rule,thresholds,favourability_threshold,past_advantage_threshold,predicted_regret_threshold,is_primary,corridor,actual_regret_tolerance,n_rows,n_signals,signal_frequency,hit_rate,random_hit_rate,uplift,mean_actual_regret_signal,median_actual_regret_signal,p90_actual_regret_signal
GRID_F0.85_PA0.005_PR0.002,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.002,0.85,0.005,0.002,False,AMD_RUB,0.005,275,11,0.04,0.2727272727272727,0.4990909090909091,0.5464480874316939,0.009113797732434873,0.0061564699619472,0.0210752819448472
GRID_F0.85_PA0.005_PR0.002,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.002,0.85,0.005,0.002,False,KGS_RUB,0.005,275,7,0.025454545454545455,0.14285714285714285,0.4802857142857142,0.29744199881023203,0.011337119126516729,0.0133017705874661,0.018266566167782
GRID_F0.85_PA0.005_PR0.002,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.002,0.85,0.005,0.002,False,KZT_RUB,0.005,275,6,0.02181818181818182,0.5,0.449,1.1135857461024499,0.007517011428489801,0.00816609287287555,0.01438494141259385
GRID_F0.85_PA0.005_PR0.002,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.002,0.85,0.005,0.002,False,TJS_RUB,0.005,275,13,0.04727272727272727,0.3076923076923077,0.4946153846153846,0.6220839813374806,0.011773014097297614,0.006609371474786,0.028308628053781003
GRID_F0.85_PA0.005_PR0.002,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.002,0.85,0.005,0.002,False,UZS_RUB,0.005,275,11,0.04,0.36363636363636365,0.43690909090909086,0.8322929671244279,0.011342367292911973,0.0121456777041659,0.0266161886342125
GRID_F0.85_PA0.005_PR0.005,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.005,0.85,0.005,0.005,False,AMD_RUB,0.005,275,16,0.05818181818181818,0.3125,0.500625,0.6242197253433208,0.01091708299932645,0.0078830948915404,0.02605319838354265
GRID_F0.85_PA0.005_PR0.005,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.005,0.85,0.005,0.005,False,KGS_RUB,0.005,275,19,0.06909090909090909,0.2631578947368421,0.4881052631578947,0.5391416864351952,0.011949479027718346,0.010075747934776,0.026134230068212094
GRID_F0.85_PA0.005_PR0.005,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.005,0.85,0.005,0.005,False,KZT_RUB,0.005,275,11,0.04,0.6363636363636364,0.4429090909090908,1.4367816091954027,0.005458100124341828,0.0,0.0149370327968213
GRID_F0.85_PA0.005_PR0.005,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.005,0.85,0.005,0.005,False,TJS_RUB,0.005,275,15,0.05454545454545454,0.4,0.49839999999999995,0.8025682182985555,0.010437231228518888,0.0054164400415169,0.0280529353553726
GRID_F0.85_PA0.005_PR0.005,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.005,0.85,0.005,0.005,False,UZS_RUB,0.005,275,17,0.06181818181818182,0.4117647058823529,0.4525882352941177,0.9097998440343124,0.009511012227773504,0.0059707671497088,0.025019810027435502
GRID_F0.85_PA0.005_PR0.010,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.010,0.85,0.005,0.01,False,AMD_RUB,0.005,275,16,0.05818181818181818,0.3125,0.505,0.6188118811881188,0.01091708299932645,0.0078830948915404,0.02605319838354265
GRID_F0.85_PA0.005_PR0.010,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.010,0.85,0.005,0.01,False,KGS_RUB,0.005,275,19,0.06909090909090909,0.2631578947368421,0.5009473684210526,0.5253204454717377,0.011949479027718346,0.010075747934776,0.026134230068212094
GRID_F0.85_PA0.005_PR0.010,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.010,0.85,0.005,0.01,False,KZT_RUB,0.005,275,11,0.04,0.6363636363636364,0.44563636363636355,1.4279885760913915,0.005458100124341828,0.0,0.0149370327968213
GRID_F0.85_PA0.005_PR0.010,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.010,0.85,0.005,0.01,False,TJS_RUB,0.005,275,15,0.05454545454545454,0.4,0.48693333333333333,0.8214676889375685,0.010437231228518888,0.0054164400415169,0.0280529353553726
GRID_F0.85_PA0.005_PR0.010,fav>=0.850; past_advantage>=0.005; predicted_regret<=0.010,0.85,0.005,0.01,False,UZS_RUB,0.005,275,17,0.06181818181818182,0.4117647058823529,0.43976470588235295,0.9363295880149812,0.009511012227773504,0.0059707671497088,0.025019810027435502
GRID_F0.90_PANONE_PR0.002,fav>=0.900; past_advantage>=NONE; predicted_regret<=0.002,0.9,,0.002,False,AMD_RUB,0.005,275,44,0.16,0.5454545454545454,0.5004090909090909,1.0900172586065946,0.007547206270544249,0.0033407355083520497,0.02137394789425364
